Title,Release_year,Type,Streaming_platform,IMDB_ratings,Total_reviews,Genre,Runtime/Duration(mins),Age_rating,Production_country,url
House of Ninjas  (2024),2024,series,Netflix,7.2,4k,"Action and Adventure, Drama, Mystery and Thriller",53,,Japan,https://www.justwatch.com/in/tv-show/house-of-ninjas
Breaking Bad  (2008),2008,series,Netflix,9.5,2m,"Drama, Crime, Mystery and Thriller",47,U,United States,https://www.justwatch.com/in/tv-show/breaking-bad
Demon Slayer: Kimetsu no Yaiba  (2019),2019,series,"Netflix, Crunchyroll",8.7,80k,"Fantasy, Mystery and Thriller, Animation, Action and Adventure, Science-Fiction",26,,Japan,https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba
Mashle: Magic and Muscles  (2023),2023,series,Crunchyroll,7.6,5k,"Animation, Action and Adventure, Comedy, Fantasy, Science-Fiction",23,,Japan,https://www.justwatch.com/in/tv-show/mashle-magic-and-muscles
The Great Indian Murder  (2022),2022,series,Hotstar,6.8,13k,"Crime, Mystery and Thriller",45,,India,https://www.justwatch.com/in/tv-show/the-great-indian-murder
Masters of the Air  (2024),2024,series,Apple TV Plus,7.8,21k,"Drama, War and Military, Action and Adventure, Mystery and Thriller",54,A,United States,https://www.justwatch.com/in/tv-show/masters-of-the-air
Naruto Shippūden  (2007),2007,series,"Netflix, Crunchyroll",8.7,164k,"Animation, Action and Adventure, Science-Fiction, Drama, Fantasy, Comedy",24,U,Japan,https://www.justwatch.com/in/tv-show/naruto-shippuden
Naruto  (2002),2002,series,"Netflix, Amazon Prime Video",8.4,125k,"Action and Adventure, Science-Fiction, Animation, Comedy, Fantasy",23,,Japan,https://www.justwatch.com/in/tv-show/naruto
House of the Dragon  (2022),2022,series,Jio Cinema,8.4,366k,"Science-Fiction, Drama, Action and Adventure, Fantasy, Romance",62,A,United States,https://www.justwatch.com/in/tv-show/house-of-the-dragon
The Last of Us  (2023),2023,series,Jio Cinema,8.7,507k,"Drama, Horror, Science-Fiction, Mystery and Thriller, Action and Adventure",58,A,United States,https://www.justwatch.com/in/tv-show/the-last-of-us
Modern Family  (2009),2009,series,Hotstar,8.5,478k,"Comedy, Drama, Romance",21,,United States,https://www.justwatch.com/in/tv-show/modern-family
A Killer Paradox  (2024),2024,series,Netflix,7.2,4k,"Comedy, Crime, Mystery and Thriller",53,,South Korea,https://www.justwatch.com/in/tv-show/a-killer-paradox
Mr. & Mrs. Smith  (2024),2024,series,Amazon Prime Video,7.0,31k,"Drama, Comedy, Action and Adventure, Mystery and Thriller, Crime",49,,United States,https://www.justwatch.com/in/tv-show/mr-and-mrs-smith
The Bear  (2022),2022,series,Hotstar,8.6,203k,"Drama, Comedy",34,,United States,https://www.justwatch.com/in/tv-show/the-bear
P.I. Meena  (2023),2023,series,Amazon Prime Video,6.1,3k,"Crime, Mystery and Thriller",39,A,India,https://www.justwatch.com/in/tv-show/p-i-meena
Succession  (2018),2018,series,Jio Cinema,8.8,266k,"Comedy, Drama",64,U,United States,https://www.justwatch.com/in/tv-show/succession
Superman & Lois  (2021),2021,series,Amazon Prime Video,7.8,39k,"Science-Fiction, Drama, Action and Adventure, Romance",42,,United States,https://www.justwatch.com/in/tv-show/superman-and-lois
Dark Desire  (2020),2020,series,Netflix,6.5,9k,"Mystery and Thriller, Drama",34,,Mexico,https://www.justwatch.com/in/tv-show/dark-desire
Fargo  (2014),2014,series,,8.9,418k,"Crime, Drama, Mystery and Thriller",52,,United States,https://www.justwatch.com/in/tv-show/fargo
Peaky Blinders  (2013),2013,series,Netflix,8.8,640k,"Drama, Crime",58,A,United Kingdom,https://www.justwatch.com/in/tv-show/peaky-blinders
Apharan  (2018),2018,series,"Jio Cinema, Alt Balaji",8.3,19k,"Drama, Action and Adventure, Crime, Mystery and Thriller",24,,India,https://www.justwatch.com/in/tv-show/apharan
Spartacus  (2010),2010,series,"Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel",8.5,255k,"Drama, Romance, Action and Adventure",54,,United States,https://www.justwatch.com/in/tv-show/spartacus
Tokyo Vice  (2022),2022,series,"Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel",8.0,39k,"Drama, Mystery and Thriller, Crime",58,A,United States,https://www.justwatch.com/in/tv-show/tokyo-vice
Mayor of Kingstown  (2021),2021,series,Amazon Prime Video,8.2,45k,"Drama, Mystery and Thriller, Crime",47,,United States,https://www.justwatch.com/in/tv-show/mayor-of-kingstown
Shark Tank India  (2021),2021,series,Sony Liv,8.7,4k,Reality TV,56,U,India,https://www.justwatch.com/in/tv-show/shark-tank-india
The Railway Men - The Untold Story of Bhopal 1984  (2023),2023,series,Netflix,8.5,20k,"Drama, History, Mystery and Thriller",59,,India,https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984
The Vampire Diaries  (2009),2009,series,"Netflix, Amazon Prime Video",7.7,307k,"Science-Fiction, Mystery and Thriller, Drama, Fantasy, Horror, Romance",42,U,United States,https://www.justwatch.com/in/tv-show/the-vampire-diaries
"Good Morning, Verônica  (2020)",2020,series,Netflix,7.5,6k,"Crime, Drama, Mystery and Thriller",49,,Brazil,https://www.justwatch.com/in/tv-show/good-morning-veronica
